Timestamp_ms,Umidade_DHT,Valor_LDR,N_Presente,P_Presente,K_Presente,Bomba_Ligada,Bloqueio_Externo,Indice_NPK
29686,40.0,3.42,0.0,0.0,0.0,0.0,0.0,0.0
34694,40.0,3.42,0.0,0.0,0.0,0.0,0.0,0.0
39702,40.0,3.42,1.0,0.0,0.0,0.0,0.0,1.0
44710,40.0,3.42,1.0,1.0,0.0,0.0,0.0,2.0
49718,40.0,3.42,1.0,1.0,1.0,0.0,0.0,3.0
54726,40.0,3.42,1.0,1.0,1.0,0.0,0.0,3.0
59734,40.0,3.02,1.0,1.0,1.0,0.0,0.0,3.0
64742,40.0,4.13,1.0,1.0,1.0,0.0,0.0,3.0
69750,40.0,4.51,1.0,1.0,1.0,0.0,0.0,3.0
74758,40.0,5.55,1.0,1.0,1.0,1.0,0.0,3.0
79766,40.0,5.55,1.0,1.0,1.0,1.0,0.0,3.0
84774,40.0,5.55,1.0,1.0,1.0,1.0,0.0,3.0
89782,40.0,5.55,0.0,1.0,1.0,0.0,0.0,2.0
94790,40.0,5.55,0.0,1.0,1.0,0.0,0.0,2.0
99798,40.0,5.55,0.0,1.0,1.0,0.0,0.0,2.0
104806,40.0,5.55,0.0,1.0,1.0,0.0,0.0,2.0
109814,40.0,5.55,0.0,1.0,1.0,0.0,0.0,2.0
114822,40.0,5.55,0.0,1.0,1.0,0.0,0.0,2.0
119830,40.0,5.55,1.0,1.0,1.0,1.0,0.0,3.0
124838,40.0,5.55,1.0,1.0,1.0,1.0,0.0,3.0
129846,40.0,5.55,1.0,1.0,1.0,1.0,0.0,3.0
134854,40.0,5.55,1.0,1.0,1.0,1.0,0.0,3.0
139862,40.0,5.55,1.0,1.0,1.0,1.0,0.0,3.0
144870,40.0,5.55,1.0,1.0,1.0,1.0,0.0,3.0
149879,74.0,5.55,1.0,1.0,1.0,0.0,0.0,3.0
15488,,,,,,,,
7,74.0,8.22,1.0,1.0,1.0,0.0,0.0,3.0
159895,74.0,8.22,1.0,1.0,1.0,0.0,0.0,3.0
164903,74.0,8.22,1.0,1.0,1.0,0.0,0.0,3.0
169911,74.0,8.22,1.0,1.0,1.0,0.0,0.0,3.0
